Federated Finetuning LLM-LoRA with params:
global_model: chavinlo/alpaca-native
data_path: ./data
output_dir: ./lora-shepherd-7b/
client_selection_strategy: random
client_selection_frac: 0.1
num_communication_rounds: 10
num_clients: 10
local_batch_size: 64
local_micro_batch_size: 8
local_num_epochs: 10
local_learning_rate: 0.0003
local_val_set_size: 0
local_save_steps: 3
cutoff_len: 512
lora_r: 16
lora_alpha: 16
lora_dropout: 0.05
lora_target_modules: ['q_proj']
train_on_inputs: True
group_by_length: True
resume_from_checkpoint: False
prompt template: alpaca

The process of federated instruction-tuning has started..

Conducting the client selection

Preparing the local dataset and trainer for Client_2
Initiating the local training of Client_2
Local training starts ... 
{'loss': 5.0019, 'grad_norm': 0.21112509071826935, 'learning_rate': 0.00029999477988515747, 'epoch': 0.0}
{'loss': 2.3792, 'grad_norm': 0.512974202632904, 'learning_rate': 0.0002997859752914564, 'epoch': 0.01}
{'loss': 2.3606, 'grad_norm': 0.44876590371131897, 'learning_rate': 0.0002997807551766139, 'epoch': 0.01}
{'loss': 2.3509, 'grad_norm': 0.3245401382446289, 'learning_rate': 0.0002997755350617713, 'epoch': 0.01}
{'loss': 2.3542, 'grad_norm': 0.4503576457500458, 'learning_rate': 0.0002997703149469288, 'epoch': 0.01}
{'loss': 2.3345, 'grad_norm': 0.33188048005104065, 'learning_rate': 0.00029976509483208626, 'epoch': 0.01}
{'loss': 2.3082, 'grad_norm': 0.21502217650413513, 'learning_rate': 0.00029975987471724376, 'epoch': 0.01}
{'loss': 2.2792, 'grad_norm': 0.29435428977012634, 'learning_rate': 0.0002997546546024012, 'epoch': 0.01}
{'loss': 2.3106, 'grad_norm': 0.2201683223247528, 'learning_rate': 0.0002997494344875587, 'epoch': 0.01}
{'loss': 2.25, 'grad_norm': 0.15160435438156128, 'learning_rate': 0.00029974421437271615, 'epoch': 0.01}
{'loss': 2.2889, 'grad_norm': 0.1940605342388153, 'learning_rate': 0.00029973899425787365, 'epoch': 0.01}
{'loss': 2.2263, 'grad_norm': 0.34345629811286926, 'learning_rate': 0.00029973377414303114, 'epoch': 0.01}
{'loss': 2.257, 'grad_norm': 0.2549379765987396, 'learning_rate': 0.0002997285540281886, 'epoch': 0.01}
{'loss': 2.2135, 'grad_norm': 0.41368013620376587, 'learning_rate': 0.0002997233339133461, 'epoch': 0.01}
{'loss': 2.2349, 'grad_norm': 0.29378247261047363, 'learning_rate': 0.00029971811379850353, 'epoch': 0.01}
{'loss': 2.2423, 'grad_norm': 0.20225374400615692, 'learning_rate': 0.00029971289368366103, 'epoch': 0.01}
{'loss': 2.1975, 'grad_norm': 0.2951165735721588, 'learning_rate': 0.0002997076735688185, 'epoch': 0.01}
{'loss': 2.2005, 'grad_norm': 0.32209986448287964, 'learning_rate': 0.00029970245345397597, 'epoch': 0.01}
{'loss': 2.2244, 'grad_norm': 0.19294755160808563, 'learning_rate': 0.0002996972333391334, 'epoch': 0.01}
{'loss': 2.2205, 'grad_norm': 0.22874528169631958, 'learning_rate': 0.0002996920132242909, 'epoch': 0.01}
{'loss': 2.1667, 'grad_norm': 0.19889427721500397, 'learning_rate': 0.0002996867931094484, 'epoch': 0.01}
{'loss': 2.1971, 'grad_norm': 0.3626980483531952, 'learning_rate': 0.00029968157299460586, 'epoch': 0.01}
{'loss': 2.2127, 'grad_norm': 0.27742066979408264, 'learning_rate': 0.0002996763528797633, 'epoch': 0.01}
{'loss': 2.1827, 'grad_norm': 0.1479616016149521, 'learning_rate': 0.0002996711327649208, 'epoch': 0.01}
{'loss': 2.1491, 'grad_norm': 0.22560764849185944, 'learning_rate': 0.0002996659126500783, 'epoch': 0.01}
{'loss': 2.1688, 'grad_norm': 0.30262118577957153, 'learning_rate': 0.00029966069253523574, 'epoch': 0.01}
{'loss': 2.1645, 'grad_norm': 0.22506815195083618, 'learning_rate': 0.00029965547242039324, 'epoch': 0.01}
{'loss': 2.1522, 'grad_norm': 0.19738692045211792, 'learning_rate': 0.0002996502523055507, 'epoch': 0.01}
{'loss': 2.1302, 'grad_norm': 0.15524110198020935, 'learning_rate': 0.0002996450321907082, 'epoch': 0.01}
{'loss': 2.181, 'grad_norm': 0.2234637588262558, 'learning_rate': 0.00029963981207586563, 'epoch': 0.01}
{'loss': 2.1531, 'grad_norm': 0.17238952219486237, 'learning_rate': 0.0002996345919610231, 'epoch': 0.01}
{'loss': 2.1048, 'grad_norm': 0.19608613848686218, 'learning_rate': 0.00029962937184618057, 'epoch': 0.01}
{'loss': 2.1361, 'grad_norm': 0.1607927531003952, 'learning_rate': 0.00029962415173133807, 'epoch': 0.01}
{'loss': 2.1183, 'grad_norm': 0.1955195516347885, 'learning_rate': 0.00029961893161649557, 'epoch': 0.01}
{'loss': 2.1504, 'grad_norm': 0.22851087152957916, 'learning_rate': 0.000299613711501653, 'epoch': 0.01}
{'loss': 2.1206, 'grad_norm': 0.20507380366325378, 'learning_rate': 0.00029960849138681045, 'epoch': 0.01}
{'loss': 2.1368, 'grad_norm': 0.1385553777217865, 'learning_rate': 0.00029960327127196795, 'epoch': 0.01}
{'loss': 2.1326, 'grad_norm': 0.16223089396953583, 'learning_rate': 0.00029959805115712545, 'epoch': 0.01}
{'loss': 2.1371, 'grad_norm': 0.18990066647529602, 'learning_rate': 0.0002995928310422829, 'epoch': 0.01}
{'loss': 2.1287, 'grad_norm': 0.2006104588508606, 'learning_rate': 0.0002995876109274404, 'epoch': 0.01}
{'loss': 2.168, 'grad_norm': 0.11732977628707886, 'learning_rate': 0.00029958239081259784, 'epoch': 0.01}
{'loss': 2.1234, 'grad_norm': 0.19582578539848328, 'learning_rate': 0.00029957717069775534, 'epoch': 0.01}
{'loss': 2.1458, 'grad_norm': 0.15539886057376862, 'learning_rate': 0.00029957195058291284, 'epoch': 0.01}
{'loss': 2.1259, 'grad_norm': 0.14657512307167053, 'learning_rate': 0.0002995667304680703, 'epoch': 0.01}
{'loss': 2.0999, 'grad_norm': 0.1818322241306305, 'learning_rate': 0.0002995615103532277, 'epoch': 0.01}
{'loss': 2.12, 'grad_norm': 0.16020868718624115, 'learning_rate': 0.0002995562902383852, 'epoch': 0.01}
{'loss': 2.1218, 'grad_norm': 0.16353602707386017, 'learning_rate': 0.0002995510701235427, 'epoch': 0.01}
{'loss': 2.1859, 'grad_norm': 0.17454960942268372, 'learning_rate': 0.00029954585000870016, 'epoch': 0.02}
{'loss': 2.1643, 'grad_norm': 0.19495780766010284, 'learning_rate': 0.0002995406298938576, 'epoch': 0.02}
{'loss': 2.1412, 'grad_norm': 0.19601133465766907, 'learning_rate': 0.0002995354097790151, 'epoch': 0.02}
{'loss': 2.1677, 'grad_norm': 0.19669759273529053, 'learning_rate': 0.0002995301896641726, 'epoch': 0.02}
{'loss': 2.1232, 'grad_norm': 0.12220220267772675, 'learning_rate': 0.00029952496954933005, 'epoch': 0.02}
{'loss': 2.1454, 'grad_norm': 0.46315622329711914, 'learning_rate': 0.00029951974943448755, 'epoch': 0.02}
{'loss': 2.1291, 'grad_norm': 0.12935689091682434, 'learning_rate': 0.000299514529319645, 'epoch': 0.02}
{'loss': 2.1648, 'grad_norm': 0.19430413842201233, 'learning_rate': 0.0002995093092048025, 'epoch': 0.02}
{'loss': 2.1557, 'grad_norm': 0.15329262614250183, 'learning_rate': 0.00029950408908996, 'epoch': 0.02}
{'loss': 2.1391, 'grad_norm': 0.12515580654144287, 'learning_rate': 0.00029949886897511743, 'epoch': 0.02}
{'loss': 2.1713, 'grad_norm': 0.15420973300933838, 'learning_rate': 0.0002994936488602749, 'epoch': 0.02}
{'loss': 2.1791, 'grad_norm': 0.17403830587863922, 'learning_rate': 0.0002994884287454324, 'epoch': 0.02}
{'loss': 2.1924, 'grad_norm': 0.1848868578672409, 'learning_rate': 0.0002994832086305899, 'epoch': 0.02}
{'loss': 2.131, 'grad_norm': 0.17242619395256042, 'learning_rate': 0.0002994779885157473, 'epoch': 0.02}
{'loss': 2.2485, 'grad_norm': 1.0600340366363525, 'learning_rate': 0.00029947276840090476, 'epoch': 0.02}
{'loss': 2.2386, 'grad_norm': 0.7825801372528076, 'learning_rate': 0.00029946754828606226, 'epoch': 0.02}
{'loss': 2.1222, 'grad_norm': 0.3283514380455017, 'learning_rate': 0.00029946232817121976, 'epoch': 0.02}
{'loss': 2.1127, 'grad_norm': 0.384602814912796, 'learning_rate': 0.0002994571080563772, 'epoch': 0.02}
{'loss': 2.1595, 'grad_norm': 0.9150837063789368, 'learning_rate': 0.00029945188794153465, 'epoch': 0.02}
{'loss': 2.1482, 'grad_norm': 6.28073263168335, 'learning_rate': 0.00029944666782669215, 'epoch': 0.02}
{'loss': 2.1744, 'grad_norm': 0.5755141377449036, 'learning_rate': 0.00029944144771184964, 'epoch': 0.02}
{'loss': 2.176, 'grad_norm': 0.5584548115730286, 'learning_rate': 0.00029943622759700714, 'epoch': 0.02}
{'loss': 2.1259, 'grad_norm': 0.36893779039382935, 'learning_rate': 0.0002994310074821646, 'epoch': 0.02}
{'loss': 2.1343, 'grad_norm': 0.21978028118610382, 'learning_rate': 0.00029942578736732203, 'epoch': 0.02}
{'loss': 2.1361, 'grad_norm': 0.23070776462554932, 'learning_rate': 0.00029942056725247953, 'epoch': 0.02}
{'loss': 2.0757, 'grad_norm': 0.2758902311325073, 'learning_rate': 0.00029941534713763703, 'epoch': 0.02}
{'loss': 2.0996, 'grad_norm': 0.3226717412471771, 'learning_rate': 0.00029941012702279447, 'epoch': 0.02}
{'loss': 2.1108, 'grad_norm': 0.25028249621391296, 'learning_rate': 0.0002994049069079519, 'epoch': 0.02}
{'loss': 2.0931, 'grad_norm': 0.17558252811431885, 'learning_rate': 0.0002993996867931094, 'epoch': 0.02}
{'loss': 2.1082, 'grad_norm': 0.274230420589447, 'learning_rate': 0.0002993944666782669, 'epoch': 0.02}
{'loss': 2.1072, 'grad_norm': 0.4129999577999115, 'learning_rate': 0.00029938924656342436, 'epoch': 0.02}
{'loss': 2.0988, 'grad_norm': 0.30068376660346985, 'learning_rate': 0.0002993840264485818, 'epoch': 0.02}
{'loss': 2.0821, 'grad_norm': 0.15715305507183075, 'learning_rate': 0.0002993788063337393, 'epoch': 0.02}
{'loss': 2.1055, 'grad_norm': 0.2230033278465271, 'learning_rate': 0.0002993735862188968, 'epoch': 0.02}
{'loss': 2.0539, 'grad_norm': 0.2204187959432602, 'learning_rate': 0.00029936836610405424, 'epoch': 0.02}
{'loss': 2.0588, 'grad_norm': 0.22269220650196075, 'learning_rate': 0.00029936314598921174, 'epoch': 0.02}
{'loss': 2.0372, 'grad_norm': 0.20613756775856018, 'learning_rate': 0.0002993579258743692, 'epoch': 0.02}
{'loss': 2.107, 'grad_norm': 0.14593563973903656, 'learning_rate': 0.0002993527057595267, 'epoch': 0.02}
{'loss': 2.0582, 'grad_norm': 0.22452934086322784, 'learning_rate': 0.0002993474856446842, 'epoch': 0.02}
{'loss': 2.0774, 'grad_norm': 0.24698406457901, 'learning_rate': 0.0002993422655298416, 'epoch': 0.02}
{'loss': 2.0724, 'grad_norm': 0.19234831631183624, 'learning_rate': 0.00029933704541499907, 'epoch': 0.02}
{'loss': 2.0785, 'grad_norm': 0.18328021466732025, 'learning_rate': 0.00029933182530015657, 'epoch': 0.02}
{'loss': 2.098, 'grad_norm': 0.24398529529571533, 'learning_rate': 0.00029932660518531407, 'epoch': 0.02}
{'loss': 2.034, 'grad_norm': 0.2994363605976105, 'learning_rate': 0.0002993213850704715, 'epoch': 0.02}
{'loss': 2.0671, 'grad_norm': 0.28755074739456177, 'learning_rate': 0.000299316164955629, 'epoch': 0.02}
{'loss': 2.0823, 'grad_norm': 0.350911945104599, 'learning_rate': 0.00029931094484078645, 'epoch': 0.02}
{'loss': 2.0534, 'grad_norm': 0.5322460532188416, 'learning_rate': 0.00029930572472594395, 'epoch': 0.02}
{'loss': 2.054, 'grad_norm': 1.1239395141601562, 'learning_rate': 0.0002993005046111014, 'epoch': 0.02}
{'loss': 2.0451, 'grad_norm': 0.3434307277202606, 'learning_rate': 0.0002992952844962589, 'epoch': 0.02}
{'loss': 2.0671, 'grad_norm': 0.3580772876739502, 'learning_rate': 0.00029929006438141634, 'epoch': 0.02}
{'loss': 2.0273, 'grad_norm': 0.6738636493682861, 'learning_rate': 0.00029928484426657384, 'epoch': 0.02}
{'loss': 2.0442, 'grad_norm': 0.6965250372886658, 'learning_rate': 0.00029927962415173134, 'epoch': 0.02}
{'loss': 2.0344, 'grad_norm': 0.25048139691352844, 'learning_rate': 0.0002992744040368888, 'epoch': 0.02}
{'loss': 2.0517, 'grad_norm': 0.610601544380188, 'learning_rate': 0.0002992691839220463, 'epoch': 0.02}
{'loss': 2.0958, 'grad_norm': 0.720684289932251, 'learning_rate': 0.0002992639638072037, 'epoch': 0.02}
{'loss': 2.039, 'grad_norm': 0.2028798907995224, 'learning_rate': 0.0002992587436923612, 'epoch': 0.02}
{'loss': 2.0742, 'grad_norm': 1.5544036626815796, 'learning_rate': 0.00029925352357751866, 'epoch': 0.02}
{'loss': 2.0255, 'grad_norm': 0.3805406391620636, 'learning_rate': 0.00029924830346267616, 'epoch': 0.03}
{'loss': 2.0613, 'grad_norm': 0.31841593980789185, 'learning_rate': 0.0002992430833478336, 'epoch': 0.03}
{'loss': 2.0227, 'grad_norm': 0.5544471144676208, 'learning_rate': 0.0002992378632329911, 'epoch': 0.03}
{'loss': 2.01, 'grad_norm': 0.46472012996673584, 'learning_rate': 0.00029923264311814855, 'epoch': 0.03}
{'loss': 2.0452, 'grad_norm': 0.39777764678001404, 'learning_rate': 0.00029922742300330605, 'epoch': 0.03}
{'loss': 2.0473, 'grad_norm': 0.7184601426124573, 'learning_rate': 0.00029922220288846355, 'epoch': 0.03}
{'loss': 2.036, 'grad_norm': 0.16859070956707, 'learning_rate': 0.000299216982773621, 'epoch': 0.03}
{'loss': 2.137, 'grad_norm': 0.8351733088493347, 'learning_rate': 0.0002992117626587785, 'epoch': 0.03}
{'loss': 2.0616, 'grad_norm': 0.6603935360908508, 'learning_rate': 0.00029920654254393593, 'epoch': 0.03}
{'loss': 2.0731, 'grad_norm': 0.5255382657051086, 'learning_rate': 0.00029920132242909343, 'epoch': 0.03}
{'loss': 2.0027, 'grad_norm': 0.5846765041351318, 'learning_rate': 0.0002991961023142509, 'epoch': 0.03}
{'loss': 2.0176, 'grad_norm': 0.2632957994937897, 'learning_rate': 0.0002991908821994084, 'epoch': 0.03}
{'loss': 2.0117, 'grad_norm': 0.5640620589256287, 'learning_rate': 0.0002991856620845658, 'epoch': 0.03}
{'loss': 2.0374, 'grad_norm': 0.7519681453704834, 'learning_rate': 0.0002991804419697233, 'epoch': 0.03}
{'loss': 2.0169, 'grad_norm': 0.910027801990509, 'learning_rate': 0.0002991752218548808, 'epoch': 0.03}
{'loss': 1.9724, 'grad_norm': 0.42401719093322754, 'learning_rate': 0.00029917000174003826, 'epoch': 0.03}
{'loss': 1.9579, 'grad_norm': 0.4854567050933838, 'learning_rate': 0.0002991647816251957, 'epoch': 0.03}
{'loss': 1.979, 'grad_norm': 0.38673022389411926, 'learning_rate': 0.0002991595615103532, 'epoch': 0.03}
{'loss': 1.9825, 'grad_norm': 0.33002814650535583, 'learning_rate': 0.0002991543413955107, 'epoch': 0.03}
{'loss': 1.9404, 'grad_norm': 0.5221368670463562, 'learning_rate': 0.00029914912128066814, 'epoch': 0.03}
{'loss': 1.9749, 'grad_norm': 0.19646351039409637, 'learning_rate': 0.00029914390116582564, 'epoch': 0.03}
{'loss': 1.9364, 'grad_norm': 0.4355120360851288, 'learning_rate': 0.0002991386810509831, 'epoch': 0.03}
{'loss': 1.998, 'grad_norm': 0.24527521431446075, 'learning_rate': 0.0002991334609361406, 'epoch': 0.03}
{'loss': 1.9838, 'grad_norm': 0.3613992929458618, 'learning_rate': 0.00029912824082129803, 'epoch': 0.03}
{'loss': 1.9759, 'grad_norm': 0.3652609586715698, 'learning_rate': 0.00029912302070645553, 'epoch': 0.03}
{'loss': 1.9213, 'grad_norm': 0.2914004623889923, 'learning_rate': 0.00029911780059161297, 'epoch': 0.03}
{'loss': 1.9646, 'grad_norm': 0.3926909267902374, 'learning_rate': 0.00029911258047677047, 'epoch': 0.03}
{'loss': 1.9334, 'grad_norm': 0.21145905554294586, 'learning_rate': 0.00029910736036192797, 'epoch': 0.03}
{'loss': 1.9364, 'grad_norm': 0.36739209294319153, 'learning_rate': 0.0002991021402470854, 'epoch': 0.03}
{'loss': 1.9948, 'grad_norm': 0.20303446054458618, 'learning_rate': 0.00029909692013224286, 'epoch': 0.03}
{'loss': 1.9031, 'grad_norm': 0.41212254762649536, 'learning_rate': 0.00029909170001740036, 'epoch': 0.03}
{'loss': 1.9096, 'grad_norm': 0.34533098340034485, 'learning_rate': 0.00029908647990255785, 'epoch': 0.03}
{'loss': 1.9191, 'grad_norm': 0.356960654258728, 'learning_rate': 0.0002990812597877153, 'epoch': 0.03}
{'loss': 1.9234, 'grad_norm': 0.6114609241485596, 'learning_rate': 0.0002990760396728728, 'epoch': 0.03}
{'loss': 1.891, 'grad_norm': 11.52710247039795, 'learning_rate': 0.00029907081955803024, 'epoch': 0.03}
{'loss': 1.9328, 'grad_norm': 1.390151858329773, 'learning_rate': 0.00029906559944318774, 'epoch': 0.03}
{'loss': 1.8986, 'grad_norm': 1.030798316001892, 'learning_rate': 0.00029906037932834524, 'epoch': 0.03}
{'loss': 1.9322, 'grad_norm': 0.7517464756965637, 'learning_rate': 0.0002990551592135027, 'epoch': 0.03}
{'loss': 1.9558, 'grad_norm': 1.4186623096466064, 'learning_rate': 0.0002990499390986601, 'epoch': 0.03}
{'loss': 1.9005, 'grad_norm': 0.675947368144989, 'learning_rate': 0.0002990447189838176, 'epoch': 0.03}
{'loss': 1.9166, 'grad_norm': 0.8779385685920715, 'learning_rate': 0.0002990394988689751, 'epoch': 0.03}
{'loss': 1.8807, 'grad_norm': 1.2372337579727173, 'learning_rate': 0.00029903427875413257, 'epoch': 0.03}
{'loss': 1.8723, 'grad_norm': 1.382604956626892, 'learning_rate': 0.00029902905863929, 'epoch': 0.03}
{'loss': 1.8586, 'grad_norm': 0.6996403932571411, 'learning_rate': 0.0002990238385244475, 'epoch': 0.03}
{'loss': 1.871, 'grad_norm': 3.165283203125, 'learning_rate': 0.000299018618409605, 'epoch': 0.03}
{'loss': 1.882, 'grad_norm': 0.5817211270332336, 'learning_rate': 0.00029901339829476245, 'epoch': 0.03}
{'loss': 1.9088, 'grad_norm': 0.7662543058395386, 'learning_rate': 0.0002990081781799199, 'epoch': 0.03}
{'loss': 1.8633, 'grad_norm': 0.7254999876022339, 'learning_rate': 0.0002990029580650774, 'epoch': 0.03}
{'loss': 1.8879, 'grad_norm': 1.0986300706863403, 'learning_rate': 0.0002989977379502349, 'epoch': 0.03}
{'loss': 1.9101, 'grad_norm': 3.927130699157715, 'learning_rate': 0.0002989925178353924, 'epoch': 0.03}
{'loss': 1.8995, 'grad_norm': 3.057016134262085, 'learning_rate': 0.00029898729772054984, 'epoch': 0.03}
{'loss': 1.8695, 'grad_norm': 1.9292782545089722, 'learning_rate': 0.0002989820776057073, 'epoch': 0.03}
{'loss': 1.8559, 'grad_norm': 1.8893274068832397, 'learning_rate': 0.0002989768574908648, 'epoch': 0.03}
{'loss': 1.8814, 'grad_norm': 0.2967602610588074, 'learning_rate': 0.0002989716373760223, 'epoch': 0.03}
{'loss': 1.8392, 'grad_norm': 1.3508497476577759, 'learning_rate': 0.0002989664172611797, 'epoch': 0.03}
{'loss': 1.8896, 'grad_norm': 0.8653749227523804, 'learning_rate': 0.00029896119714633716, 'epoch': 0.03}
{'loss': 1.8722, 'grad_norm': 0.7352016568183899, 'learning_rate': 0.00029895597703149466, 'epoch': 0.03}
{'loss': 1.974, 'grad_norm': 0.8195126056671143, 'learning_rate': 0.00029895075691665216, 'epoch': 0.03}
{'loss': 1.8994, 'grad_norm': 1.0165226459503174, 'learning_rate': 0.0002989455368018096, 'epoch': 0.04}
{'loss': 1.8939, 'grad_norm': 0.8675585985183716, 'learning_rate': 0.00029894031668696705, 'epoch': 0.04}
{'loss': 1.833, 'grad_norm': 0.9983798861503601, 'learning_rate': 0.00029893509657212455, 'epoch': 0.04}
{'loss': 1.8423, 'grad_norm': 1.377893328666687, 'learning_rate': 0.00029892987645728205, 'epoch': 0.04}
{'loss': 1.8308, 'grad_norm': 1.1838141679763794, 'learning_rate': 0.0002989246563424395, 'epoch': 0.04}
{'loss': 1.8378, 'grad_norm': 1.6187522411346436, 'learning_rate': 0.000298919436227597, 'epoch': 0.04}
{'loss': 1.8664, 'grad_norm': 1.7585490942001343, 'learning_rate': 0.00029891421611275443, 'epoch': 0.04}
{'loss': 1.8683, 'grad_norm': 1.5077130794525146, 'learning_rate': 0.00029890899599791193, 'epoch': 0.04}
{'loss': 1.8687, 'grad_norm': 1.1092197895050049, 'learning_rate': 0.00029890377588306943, 'epoch': 0.04}
{'loss': 1.8143, 'grad_norm': 1.354706048965454, 'learning_rate': 0.0002988985557682269, 'epoch': 0.04}
{'loss': 1.8394, 'grad_norm': 0.7910754680633545, 'learning_rate': 0.0002988933356533843, 'epoch': 0.04}
{'loss': 1.8195, 'grad_norm': 0.30865514278411865, 'learning_rate': 0.0002988881155385418, 'epoch': 0.04}
{'loss': 1.8144, 'grad_norm': 0.4062013626098633, 'learning_rate': 0.0002988828954236993, 'epoch': 0.04}
{'loss': 1.7811, 'grad_norm': 0.5153907537460327, 'learning_rate': 0.00029887767530885676, 'epoch': 0.04}
{'loss': 1.8122, 'grad_norm': 1.9735612869262695, 'learning_rate': 0.0002988724551940142, 'epoch': 0.04}
{'loss': 1.7895, 'grad_norm': 1.344355821609497, 'learning_rate': 0.0002988672350791717, 'epoch': 0.04}
{'loss': 1.8159, 'grad_norm': 0.40881019830703735, 'learning_rate': 0.0002988620149643292, 'epoch': 0.04}
{'loss': 1.8052, 'grad_norm': 2.7361814975738525, 'learning_rate': 0.00029885679484948664, 'epoch': 0.04}
{'loss': 1.783, 'grad_norm': 1.2203326225280762, 'learning_rate': 0.00029885157473464414, 'epoch': 0.04}
{'loss': 1.8062, 'grad_norm': 0.6950429677963257, 'learning_rate': 0.0002988463546198016, 'epoch': 0.04}
{'loss': 1.8134, 'grad_norm': 0.9486315846443176, 'learning_rate': 0.0002988411345049591, 'epoch': 0.04}
